日期 : 2014-12-18| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.55| 交易额 : 1455.00| 总资产 :  112814.50|
日期 : 2014-12-19| 股票 : 601088| 买卖方向 : SELL | 报价 : 18.01| 交易额 : 1801.00| 总资产 :  112849.00|
日期 : 2014-12-29| 股票 : 601601| 买卖方向 : SELL | 报价 : 30.55| 交易额 : 3055.00| 总资产 :  116073.36|
日期 : 2014-12-31| 股票 : 600703| 买卖方向 : BUY  | 报价 : 14.10| 交易额 : 1410.00| 总资产 :  117748.64|
日期 : 2014-12-31| 股票 : 600196| 买卖方向 : BUY  | 报价 : 20.77| 交易额 : 2077.00| 总资产 :  117748.64|
日期 : 2015-01-05| 股票 : 600196| 买卖方向 : SELL | 报价 : 21.09| 交易额 : 2109.00| 总资产 :  122084.37|
日期 : 2015-01-06| 股票 : 601088| 买卖方向 : SELL | 报价 : 22.59| 交易额 : 2259.00| 总资产 :  123847.32|
日期 : 2015-01-06| 股票 : 600196| 买卖方向 : BUY  | 报价 : 21.60| 交易额 : 2160.00| 总资产 :  123847.32|
日期 : 2015-01-07| 股票 : 600196| 买卖方向 : SELL | 报价 : 22.43| 交易额 : 2243.00| 总资产 :  122784.02|
日期 : 2015-01-07| 股票 : 601601| 买卖方向 : BUY  | 报价 : 31.33| 交易额 : 3133.00| 总资产 :  122784.02|
日期 : 2015-01-07| 股票 : 600703| 买卖方向 : SELL | 报价 : 15.46| 交易额 : 1546.00| 总资产 :  122784.02|
日期 : 2015-01-09| 股票 : 600703| 买卖方向 : BUY  | 报价 : 15.21| 交易额 : 1521.00| 总资产 :  121861.21|
日期 : 2015-01-12| 股票 : 600703| 买卖方向 : SELL | 报价 : 15.54| 交易额 : 1554.00| 总资产 :  123512.33|
日期 : 2015-01-13| 股票 : 600703| 买卖方向 : SELL | 报价 : 16.83| 交易额 : 1683.00| 总资产 :  124150.91|
日期 : 2015-01-13| 股票 : 601088| 买卖方向 : BUY  | 报价 : 20.83| 交易额 : 2083.00| 总资产 :  124150.91|
日期 : 2015-01-16| 股票 : 601601| 买卖方向 : SELL | 报价 : 33.46| 交易额 : 3346.00| 总资产 :  126661.07|
日期 : 2015-01-16| 股票 : 600196| 买卖方向 : BUY  | 报价 : 21.91| 交易额 : 2191.00| 总资产 :  126661.07|
日期 : 2015-01-20| 股票 : 601601| 买卖方向 : BUY  | 报价 : 30.33| 交易额 : 3033.00| 总资产 :  121179.49|
日期 : 2015-01-21| 股票 : 600196| 买卖方向 : SELL | 报价 : 21.48| 交易额 : 2148.00| 总资产 :  125752.12|
日期 : 2015-01-22| 股票 : 601601| 买卖方向 : SELL | 报价 : 33.15| 交易额 : 3315.00| 总资产 :  127635.83|
日期 : 2015-01-23| 股票 : 600196| 买卖方向 : BUY  | 报价 : 22.41| 交易额 : 2241.00| 总资产 :  128009.11|
日期 : 2015-01-23| 股票 : 601088| 买卖方向 : BUY  | 报价 : 20.46| 交易额 : 2046.00| 总资产 :  128009.11|
日期 : 2015-01-27| 股票 : 600196| 买卖方向 : SELL | 报价 : 23.07| 交易额 : 2307.00| 总资产 :  128280.35|
日期 : 2015-02-10| 股票 : 600196| 买卖方向 : BUY  | 报价 : 21.31| 交易额 : 2131.00| 总资产 :  122011.56|
日期 : 2015-02-10| 股票 : 601088| 买卖方向 : BUY  | 报价 : 17.85| 交易额 : 1785.00| 总资产 :  122011.56|
日期 : 2015-02-11| 股票 : 600196| 买卖方向 : SELL | 报价 : 21.60| 交易额 : 2160.00| 总资产 :  122954.60|
日期 : 2015-02-11| 股票 : 601088| 买卖方向 : SELL | 报价 : 18.23| 交易额 : 1823.00| 总资产 :  122954.60|
日期 : 2015-02-26| 股票 : 601088| 买卖方向 : BUY  | 报价 : 17.96| 交易额 : 1796.00| 总资产 :  125661.11|
日期 : 2015-02-27| 股票 : 601088| 买卖方向 : SELL | 报价 : 18.58| 交易额 : 1858.00| 总资产 :  124789.46|
日期 : 2015-03-03| 股票 : 600703| 买卖方向 : SELL | 报价 : 18.57| 交易额 : 1857.00| 总资产 :  124421.82|
日期 : 2015-03-04| 股票 : 601088| 买卖方向 : BUY  | 报价 : 18.19| 交易额 : 1819.00| 总资产 :  126312.27|
日期 : 2015-03-06| 股票 : 601601| 买卖方向 : BUY  | 报价 : 31.94| 交易额 : 3194.00| 总资产 :  124389.29|
日期 : 2015-03-09| 股票 : 600703| 买卖方向 : BUY  | 报价 : 17.76| 交易额 : 1776.00| 总资产 :  125535.85|
日期 : 2015-03-11| 股票 : 600703| 买卖方向 : SELL | 报价 : 18.59| 交易额 : 1859.00| 总资产 :  126176.20|
日期 : 2015-03-13| 股票 : 600703| 买卖方向 : BUY  | 报价 : 18.16| 交易额 : 1816.00| 总资产 :  126787.44|
日期 : 2015-03-13| 股票 : 601601| 买卖方向 : SELL | 报价 : 32.87| 交易额 : 3287.00| 总资产 :  126787.44|
日期 : 2015-03-16| 股票 : 601088| 买卖方向 : SELL | 报价 : 18.72| 交易额 : 1872.00| 总资产 :  128648.76|
日期 : 2015-03-18| 股票 : 600703| 买卖方向 : SELL | 报价 : 18.81| 交易额 : 1881.00| 总资产 :  131723.06|
日期 : 2015-03-23| 股票 : 600703| 买卖方向 : BUY  | 报价 : 19.25| 交易额 : 1925.00| 总资产 :  133096.25|
日期 : 2015-03-24| 股票 : 600703| 买卖方向 : SELL | 报价 : 19.55| 交易额 : 1955.00| 总资产 :  131302.36|
日期 : 2015-03-25| 股票 : 600703| 买卖方向 : BUY  | 报价 : 18.99| 交易额 : 1899.00| 总资产 :  130853.28|
日期 : 2015-03-25| 股票 : 601601| 买卖方向 : BUY  | 报价 : 33.34| 交易额 : 3334.00| 总资产 :  130853.28|
日期 : 2015-03-27| 股票 : 600703| 买卖方向 : SELL | 报价 : 18.70| 交易额 : 1870.00| 总资产 :  130712.60|
日期 : 2015-03-30| 股票 : 600703| 买卖方向 : BUY  | 报价 : 18.95| 交易额 : 1895.00| 总资产 :  133499.86|
